"plant_id","datetime","treatment","genotype","group","date","dap","solidity","sv_area","tv_area","extent_x","extent_y","height_above_bound","fw_biomass","dw_biomass","height_width_ratio","tiller_count","wue"
"Dr1AD000167",1387210574,33,"R20","R20-33","2013-12-16 10:16:14",20,0.177116725962,196987.404791339,155630.450707983,26.554269479243,17.7734962192881,17.4707109344621,7.12600004960614,0.822437368257048,0.657924743443558,5.38665164092152,375.930161815532
"Dp2AA01098",1387210720,100,"B100","B100-100","2013-12-16 10:18:40",20,0.256122012846,167923.658215918,114086.166135045,17.6372428411164,17.516128727186,17.4707109344621,6.03472559445954,0.693842225406669,0.990557939914163,4.41847978485204,252.897075626382
"Dr3AD000476",1387210939,33,"R98","R98-33","2013-12-16 10:22:19",20,0.151850463332,106347.348118547,53916.068395653,16.8045833078448,17.5464072556686,17.4858501987034,3.72268182277754,0.421392341059438,1.04054054054054,3.80071725824674,239.521054321053
"Dr3AA000411",1387211084,100,"R98","R98-100","2013-12-16 10:24:44",20,0.190733048297,164573.156561795,122151.626271677,23.238770610398,17.5464072556686,17.4707109344621,5.9089222381172,0.679017631553487,0.751791530944625,4.91355598765326,228.891733743803
"Dr8AD000974",1387211376,33,"R187","R187-33","2013-12-16 10:29:36",20,0.196554841572,151708.657489882,89169.6926375284,21.1949699378223,17.8340532762533,17.4707109344621,5.4258909407239,0.622097506284769,0.824285714285714,4.6486420189269,364.684272812216
"Dr3AA000412",1387211525,100,"R98","R98-100","2013-12-16 10:32:05",20,0.182758246651,188556.014377181,123390.247117698,27.0841437276886,17.5464072556686,17.4858501987034,6.80942142281206,0.785131928233262,0.645612073784237,5.34400382832569,256.190236925518
"Dr8AD000966",1387211744,33,"R187","R187-33","2013-12-16 10:35:44",20,0.158801299554,145601.91128689,106036.269423079,23.9957338224631,17.516128727186,17.4707109344621,5.19659716684327,0.595077662222789,0.72807570977918,4.80886300180221,333.949337813967
"Dp2AA000107",1387211889,100,"B100","B100-100","2013-12-16 10:38:09",20,0.234359875414,179550.295633257,125225.782239039,20.5893993681702,17.7886354835294,17.4858501987034,6.47127813526389,0.74528532121238,0.849264705882353,4.82379781829201,268.787867714456
"Dr4AA000513",1387211962,100,"R102","R102-100","2013-12-16 10:39:22",20,0.23038745337,185253.151986366,96430.2200423226,18.7272698664901,17.5312679914273,17.4707109344621,6.685406807332,0.770518118555979,0.932902182700081,4.68776785092521,276.085174346299
"Dr7AD000878",1387212181,33,"R161","R161-33","2013-12-16 10:43:01",20,0.193631169856,132938.028554886,137693.224184093,23.6323914806718,13.9584016304801,13.8070089880671,4.7210985351529,0.53904518187011,0.584240871236387,5.019218402419,275.234013571192
"Dp1AA01039",1387212328,100,"A10","A10-100","2013-12-16 10:45:28",20,0.177896980635,282136.419524774,194253.746188023,31.2928591867704,19.7113220421747,17.4858501987034,10.3231427310691,1.1991867899051,0.55878084179971,6.30664512060652,378.706603388959
