 ,Label,Circ.,AR,Round,Solidity
245,apple_319.jpg,0.346,2.148,0.466,0.772
246,apple_32.jpg,0.329,2.254,0.444,0.749
247,apple_320.jpg,0.358,2.271,0.440,0.822
248,apple_321.jpg,0.374,2.311,0.433,0.807
249,apple_322.jpg,0.422,1.992,0.502,0.824
250,apple_323.jpg,0.330,2.492,0.401,0.796
251,apple_324.jpg,0.322,2.562,0.390,0.769
252,apple_325.jpg,0.380,2.369,0.422,0.832
253,apple_326.jpg,0.383,2.164,0.462,0.807
254,apple_327.jpg,0.404,2.137,0.468,0.821
255,apple_328.jpg,0.353,2.271,0.440,0.797
256,apple_329.jpg,0.387,1.824,0.548,0.776
257,apple_33.jpg,0.359,2.152,0.465,0.836
258,apple_330.jpg,0.436,1.872,0.534,0.871
259,apple_331.jpg,0.377,1.988,0.503,0.766
260,apple_332.jpg,0.415,1.830,0.546,0.795
261,apple_333.jpg,0.434,1.553,0.644,0.784
262,apple_334.jpg,0.362,1.895,0.528,0.761
263,apple_335.jpg,0.382,2.181,0.459,0.786
264,apple_336.jpg,0.404,1.704,0.587,0.789
265,apple_337.jpg,0.392,1.821,0.549,0.778
266,apple_338.jpg,0.411,1.624,0.616,0.785
267,apple_339.jpg,0.412,1.558,0.642,0.781
268,apple_34.jpg,0.341,2.266,0.441,0.807
269,apple_340.jpg,0.478,1.534,0.652,0.825
270,apple_341.jpg,0.452,1.448,0.691,0.824
271,apple_342.jpg,0.463,1.473,0.679,0.843
272,apple_343.jpg,0.454,1.516,0.660,0.855
273,apple_344.jpg,0.453,1.534,0.652,0.843
274,apple_345.jpg,0.436,1.583,0.632,0.814
275,apple_346.jpg,0.408,1.790,0.559,0.806
276,apple_347.jpg,0.483,1.498,0.668,0.867
277,apple_348.jpg,0.355,1.802,0.555,0.782
278,apple_349.jpg,0.446,1.357,0.737,0.819
279,apple_35.jpg,0.352,2.402,0.416,0.811
280,apple_350.jpg,0.424,1.455,0.687,0.791
281,apple_351.jpg,0.374,1.947,0.514,0.792
282,apple_352.jpg,0.411,1.838,0.544,0.819
283,apple_353.jpg,0.376,2.052,0.487,0.810
284,apple_354.jpg,0.406,1.737,0.576,0.803
285,apple_355.jpg,0.346,2.013,0.497,0.746
286,apple_356.jpg,0.410,1.654,0.604,0.768
287,apple_357.jpg,0.360,1.947,0.514,0.774
288,apple_358.jpg,0.354,1.929,0.518,0.774
289,apple_359.jpg,0.368,1.787,0.559,0.766
290,apple_36.jpg,0.359,2.002,0.499,0.795
291,apple_360.jpg,0.388,1.649,0.606,0.760
292,apple_361.jpg,0.411,1.656,0.604,0.805
293,apple_362.jpg,0.413,1.690,0.592,0.795
294,apple_363.jpg,0.354,1.987,0.503,0.760
295,apple_364.jpg,0.382,1.985,0.504,0.810
296,apple_365.jpg,0.371,2.055,0.487,0.782
297,apple_366.jpg,0.397,1.790,0.559,0.794
298,apple_367.jpg,0.369,1.956,0.511,0.780
299,apple_368.jpg,0.419,1.927,0.519,0.814
300,apple_369.jpg,0.389,2.096,0.477,0.804
301,apple_37.jpg,0.438,1.909,0.524,0.838
302,apple_370.jpg,0.447,1.537,0.651,0.816
303,apple_371.jpg,0.472,1.576,0.635,0.848
304,apple_372.jpg,0.387,1.917,0.522,0.793
305,apple_373.jpg,0.463,1.716,0.583,0.853
306,apple_374.jpg,0.397,1.705,0.586,0.793
307,apple_375.jpg,0.485,1.547,0.646,0.847
308,apple_376.jpg,0.375,2.090,0.479,0.800
309,apple_377.jpg,0.473,1.593,0.628,0.851
310,apple_378.jpg,0.464,1.643,0.608,0.840
311,apple_379.jpg,0.415,1.825,0.548,0.814
312,apple_38.jpg,0.371,2.366,0.423,0.848
